Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
Hell or High Water (2016),5,2016,7.6,"26 August 2016 (USA)
",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,452
The Witch (2015),6,2016,6.9,"19 February 2016 (USA)
","A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.",1055
The Jungle Book (2016),7,2016,7.4,"15 April 2016 (USA)
","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",600
Deadpool (2016),8,2016,8,"12 February 2016 (USA)
","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",1473
Moonlight (2016),9,2016,7.4,"18 November 2016 (USA)
","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",936
Other People (2016),10,2016,6.8,"9 September 2016 (USA)
","A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.",32
Zootopia (2016),11,2016,8,"4 March 2016 (USA)
","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",732
Nocturnal Animals (2016),12,2016,7.5,"9 December 2016 (USA)
","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",684
Train to Busan (2016),13,2016,7.6,"20 July 2016 (South Korea)
","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",756
Don't Breathe (2016),14,2016,7.1,"26 August 2016 (USA)
","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",669
Sing Street (2016),15,2016,7.9,"17 March 2016 (Ireland)
",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,205
Doctor Strange (2016),16,2016,7.5,"4 November 2016 (USA)
","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",975
The Conjuring 2 (2016),17,2016,7.3,"10 June 2016 (USA)
",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,569
The Distinguished Citizen (2016),18,2016,7.5,"1 September 2017 (USA)
","A recipient of the Nobel Prize for Literature, who has been living in Europe for decades, accepts an invitation to receive a prize. In Argentina he finds both similarities and irreconcilable differences with the people of his hometown.",29
Your Name. (2016),19,2016,8.4,"7 April 2017 (USA)
","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",709
Maudie (2016),20,2016,7.6,"4 August 2017 (Ireland)
",An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.,107
Miss Peregrine's Home for Peculiar Children (2016),21,2016,6.7,"30 September 2016 (USA)
","When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",438
Eddie the Eagle (2015),22,2016,7.4,"26 February 2016 (USA)
","The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.",196
Elle (2016),23,2016,7.1,"11 November 2016 (USA)
",A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,187
Julieta (2016),24,2016,7.1,"21 December 2016 (USA)
","After a casual encounter, a brokenhearted woman decides to confront her life and the most important events about her stranded daughter.",61
