Movie Name,Movie Genre
Rogue One: A Star Wars Story (2016) , Action
Rogue One: A Star Wars Story (2016) , Adventure
Rogue One: A Star Wars Story (2016) , Sci-Fi
13 Hours (2016) , Action
13 Hours (2016) , Drama
13 Hours (2016) , History
13 Hours (2016) , War
Fantastic Beasts and Where to Find Them (2016) , Adventure
Fantastic Beasts and Where to Find Them (2016) , Family
Fantastic Beasts and Where to Find Them (2016) , Fantasy
The Autopsy of Jane Doe (2016) , Horror
The Autopsy of Jane Doe (2016) , Mystery
The Autopsy of Jane Doe (2016) , Thriller
American Honey (2016) , Drama
American Honey (2016) , Romance
The Founder (2016) , Biography
The Founder (2016) , Drama
